0	-1	-1	-1	-1	-1	512	-1	-1	-1	-1	-1	-1	1024	-1	-1	-1	-1	-1	1536	-1	-1	-1	-1	-1	-1	2048	-1	-1	-1	-1	-1	2560	-1	-1	-1	-1	-1	-1	3072	-1	-1	-1	-1	-1	3584	-1	-1	-1	-1	-1	4096	-1	-1	-1	-1	-1	-1	4608	-1	-1	-1	-1	-1	5120	-1	-1	-1	-1	-1	-1	5632	-1	-1	-1	-1	-1	6144	-1	-1	-1	-1	-1	-1	6656	-1	-1	-1	-1	-1	7168	-1	-1	-1	-1	-1	7680	-1	-1	-1	-1	-1	-1	8192	-1	-1	-1	-1	-1	8704	-1	-1	-1	-1	-1	-1	9216	-1	-1	-1	-1	-1	9728	-1	-1	-1	-1	-1	-1	10240	-1	-1	-1	-1	-1	10752	-1	-1	-1	-1	-1	11264	-1	-1	-1	-1	-1	-1	11776	-1	-1	-1	-1	-1	12288	-1	-1	-1	-1	-1	-1	12800	-1	-1	-1	-1	-1	13312	-1	-1	-1	-1	-1	-1	13824	-1	-1	-1	-1	-1	14336	-1	-1	-1	-1	-1	14848	-1	-1	-1	-1	-1	-1	15360	-1	-1	-1	-1	-1	15872	-1	-1	-1	-1	-1	-1	16384	-1	-1	-1	-1	-1	16896	-1	-1	-1	-1	-1	-1	17408	-1	-1	-1	-1	-1	17920	-1	-1	-1	-1	-1	18432	-1	-1	-1	-1	-1	-1	18944	-1	-1	-1	-1	-1	19456	-1	-1	-1	-1	-1	-1	19968	-1	-1	-1	-1	-1	20480	-1	-1	-1	-1	-1	-1	20992	-1	-1	-1	-1	-1	21504	-1	-1	-1	-1	-1	22016	-1	-1	-1	-1	-1	-1	22528	-1	-1	-1	-1	-1	23040	-1	-1	-1	-1	-1	-1	23552	-1	-1	-1	-1	-1	24064	-1	-1	-1	-1	-1	-1	24576	-1	-1	-1	-1	-1	25088	-1	-1	-1	-1	-1	25600	-1	-1	-1	-1	-1	-1	26112	-1	-1	-1	-1	-1	26624	-1	-1	-1	-1	-1	-1	27136	-1	-1	-1	-1	-1	27648	-1	-1	-1	-1	-1	-1	28160	-1	-1	-1	-1	-1	28672	
29184	-1	-1	-1	-1	-1	29696	-1	-1	-1	-1	-1	30208	-1	-1	-1	-1	-1	30720	-1	-1	-1	-1	-1	31232	-1	-1	-1	-1	-1	31744	-1	-1	-1	-1	-1	32256	-1	-1	-1	-1	-1	32768	-1	-1	-1	-1	-1	33280	-1	-1	-1	-1	-1	33792	-1	-1	-1	-1	-1	34304	-1	-1	-1	-1	-1	34816	-1	-1	-1	-1	-1	35328	-1	-1	-1	-1	-1	35840	-1	-1	-1	-1	-1	36352	-1	-1	-1	-1	-1	36864	-1	-1	-1	-1	-1	37376	-1	-1	-1	-1	-1	37888	-1	-1	-1	-1	-1	38400	-1	-1	-1	-1	-1	38912	-1	-1	-1	-1	-1	39424	-1	-1	-1	-1	-1	39936	-1	-1	-1	-1	-1	40448	-1	-1	-1	-1	-1	40960	-1	-1	-1	-1	-1	41472	-1	-1	-1	-1	-1	41984	-1	-1	-1	-1	-1	42496	-1	-1	-1	-1	-1	43008	-1	-1	-1	-1	-1	43520	-1	-1	-1	-1	-1	44032	-1	-1	-1	-1	-1	44544	-1	-1	-1	-1	-1	45056	-1	-1	-1	-1	-1	45568	-1	-1	-1	-1	-1	46080	-1	-1	-1	-1	-1	46592	-1	-1	-1	-1	-1	47104	-1	-1	-1	-1	-1	47616	-1	-1	-1	-1	-1	48128	-1	-1	-1	-1	-1	48640	-1	-1	-1	-1	-1	49152	-1	-1	-1	-1	-1	49664	-1	-1	-1	-1	-1	50176	-1	-1	-1	-1	-1	50688	-1	-1	-1	-1	-1	51200	-1	-1	-1	-1	-1	51712	-1	-1	-1	-1	-1	52224	-1	-1	-1	-1	-1	52736	-1	-1	-1	-1	-1	53248	-1	-1	-1	-1	-1	53760	-1	-1	-1	-1	-1	54272	-1	-1	-1	-1	-1	54784	-1	-1	-1	-1	-1	55296	-1	-1	-1	-1	-1	55808	-1	-1	-1	-1	-1	56320	-1	-1	-1	-1	-1	56832	-1	-1	-1	-1	-1	57344	-1	-1	-1	-1	-1	57856	-1	-1	-1	-1	-1	58368	-1	-1	-1	-1	-1	58880	-1	-1	-1	-1	-1	59392	-1	-1	-1	-1	-1	59904	
60416	-1	-1	-1	-1	60928	-1	-1	-1	-1	61440	-1	-1	-1	-1	61952	-1	-1	-1	-1	62464	-1	-1	-1	-1	62976	-1	-1	-1	-1	63488	-1	-1	-1	-1	64000	-1	-1	-1	-1	64512	-1	-1	-1	-1	65024	-1	-1	-1	-1	65536	-1	-1	-1	-1	66048	-1	-1	-1	-1	66560	-1	-1	-1	-1	67072	-1	-1	-1	-1	67584	-1	-1	-1	-1	68096	-1	-1	-1	-1	68608	-1	-1	-1	-1	69120	-1	-1	-1	-1	69632	-1	-1	-1	-1	70144	-1	-1	-1	-1	70656	-1	-1	-1	-1	71168	-1	-1	-1	-1	71680	-1	-1	-1	-1	72192	-1	-1	-1	-1	72704	-1	-1	-1	-1	73216	-1	-1	-1	-1	73728	-1	-1	-1	-1	74240	-1	-1	-1	-1	74752	-1	-1	-1	-1	75264	-1	-1	-1	-1	75776	-1	-1	-1	-1	76288	-1	-1	-1	-1	76800	-1	-1	-1	-1	77312	-1	-1	-1	-1	77824	-1	-1	-1	-1	78336	-1	-1	-1	-1	78848	-1	-1	-1	-1	79360	-1	-1	-1	-1	79872	-1	-1	-1	-1	80384	-1	-1	-1	-1	80896	-1	-1	-1	-1	81408	-1	-1	-1	-1	81920	-1	-1	-1	-1	82432	-1	-1	-1	-1	82944	-1	-1	-1	-1	83456	-1	-1	-1	-1	83968	-1	-1	-1	-1	84480	-1	-1	-1	-1	84992	-1	-1	-1	-1	85504	-1	-1	-1	-1	86016	-1	-1	-1	-1	86528	-1	-1	-1	-1	87040	-1	-1	-1	-1	87552	-1	-1	-1	-1	88064	-1	-1	-1	-1	88576	-1	-1	-1	-1	89088	-1	-1	-1	-1	89600	-1	-1	-1	-1	90112	-1	-1	-1	-1	90624	-1	-1	-1	-1	91136	-1	-1	-1	-1	91648	-1	-1	-1	-1	92160	-1	-1	-1	-1	92672	-1	-1	-1	-1	93184	-1	-1	-1	-1	93696	-1	-1	-1	-1	94208	-1	-1	-1	-1	94720	-1	-1	-1	-1	95232	-1	-1	-1	-1	95744	-1	-1	-1	-1	96256	-1	-1	-1	-1	96768	-1	-1	-1	-1	97280	
97792	-1	-1	-1	-1	98304	-1	-1	-1	-1	98816	-1	-1	-1	-1	99328	-1	-1	-1	-1	99840	-1	-1	-1	-1	100352	-1	-1	-1	-1	100864	-1	-1	-1	-1	101376	-1	-1	-1	-1	101888	-1	-1	-1	-1	102400	-1	-1	-1	-1	102912	-1	-1	-1	-1	103424	-1	-1	-1	-1	103936	-1	-1	-1	-1	104448	-1	-1	-1	-1	104960	-1	-1	-1	-1	105472	-1	-1	-1	-1	105984	-1	-1	-1	-1	106496	-1	-1	-1	-1	107008	-1	-1	-1	-1	107520	-1	-1	-1	-1	108032	-1	-1	-1	-1	108544	-1	-1	-1	-1	109056	-1	-1	-1	-1	109568	-1	-1	-1	-1	110080	-1	-1	-1	-1	110592	-1	-1	-1	-1	111104	-1	-1	-1	-1	111616	-1	-1	-1	-1	112128	-1	-1	-1	-1	112640	-1	-1	-1	-1	113152	-1	-1	-1	-1	113664	-1	-1	-1	-1	114176	-1	-1	-1	-1	114688	-1	-1	-1	-1	115200	-1	-1	-1	-1	115712	-1	-1	-1	-1	116224	-1	-1	-1	-1	116736	-1	-1	-1	-1	117248	-1	-1	-1	-1	117760	-1	-1	-1	-1	118272	-1	-1	-1	-1	118784	-1	-1	-1	-1	119296	-1	-1	-1	-1	119808	-1	-1	-1	-1	120320	-1	-1	-1	-1	120832	-1	-1	-1	-1	121344	-1	-1	-1	-1	121856	-1	-1	-1	-1	122368	-1	-1	-1	-1	122880	-1	-1	-1	-1	123392	-1	-1	-1	-1	123904	-1	-1	-1	-1	124416	-1	-1	-1	-1	124928	-1	-1	-1	-1	125440	-1	-1	-1	-1	125952	-1	-1	-1	-1	126464	-1	-1	-1	-1	126976	-1	-1	-1	-1	127488	-1	-1	-1	-1	128000	-1	-1	-1	-1	128512	-1	-1	-1	-1	129024	-1	-1	-1	-1	129536	-1	-1	-1	-1	130048	-1	-1	-1	-1	130560	-1	-1	-1	-1	131072	-1	-1	-1	-1	131584	-1	-1	-1	-1	132096	-1	-1	-1	-1	132608	-1	-1	-1	-1	133120	-1	-1	-1	-1	133632	-1	-1	-1	-1	134144	-1	-1	-1	-1	134656	
135168	-1	-1	-1	-1	135680	-1	-1	-1	-1	136192	-1	-1	-1	-1	136704	-1	-1	-1	-1	137216	-1	-1	-1	-1	137728	-1	-1	-1	-1	138240	-1	-1	-1	-1	138752	-1	-1	-1	-1	139264	-1	-1	-1	-1	139776	-1	-1	-1	-1	140288	-1	-1	-1	-1	140800	-1	-1	-1	-1	141312	-1	-1	-1	-1	141824	-1	-1	-1	-1	142336	-1	-1	-1	-1	142848	-1	-1	-1	-1	143360	-1	-1	-1	-1	143872	-1	-1	-1	-1	144384	-1	-1	-1	-1	144896	-1	-1	-1	-1	145408	-1	-1	-1	-1	145920	-1	-1	-1	-1	146432	-1	-1	-1	-1	146944	-1	-1	-1	-1	147456	-1	-1	-1	-1	147968	-1	-1	-1	-1	148480	-1	-1	-1	-1	148992	-1	-1	-1	-1	149504	-1	-1	-1	-1	150016	-1	-1	-1	-1	150528	-1	-1	-1	-1	151040	-1	-1	-1	-1	151552	-1	-1	-1	-1	152064	-1	-1	-1	-1	152576	-1	-1	-1	-1	153088	-1	-1	-1	-1	153600	-1	-1	-1	-1	154112	-1	-1	-1	-1	154624	-1	-1	-1	-1	155136	-1	-1	-1	-1	155648	-1	-1	-1	-1	156160	-1	-1	-1	-1	156672	-1	-1	-1	-1	157184	-1	-1	-1	-1	157696	-1	-1	-1	-1	158208	-1	-1	-1	-1	158720	-1	-1	-1	-1	159232	-1	-1	-1	-1	159744	-1	-1	-1	-1	160256	-1	-1	-1	-1	160768	-1	-1	-1	-1	161280	-1	-1	-1	-1	161792	-1	-1	-1	-1	162304	-1	-1	-1	-1	162816	-1	-1	-1	-1	163328	-1	-1	-1	-1	163840	-1	-1	-1	-1	164352	-1	-1	-1	-1	164864	-1	-1	-1	-1	165376	-1	-1	-1	-1	165888	-1	-1	-1	-1	166400	-1	-1	-1	-1	166912	-1	-1	-1	-1	167424	-1	-1	-1	-1	167936	-1	-1	-1	-1	168448	-1	-1	-1	-1	168960	-1	-1	-1	-1	169472	-1	-1	-1	-1	169984	-1	-1	-1	-1	170496	-1	-1	-1	-1	171008	-1	-1	-1	-1	171520	-1	-1	-1	-1	172032	
172544	-1	-1	-1	-1	173056	-1	-1	-1	-1	173568	-1	-1	-1	-1	174080	-1	-1	-1	-1	174592	-1	-1	-1	-1	175104	-1	-1	-1	-1	175616	-1	-1	-1	-1	176128	-1	-1	-1	-1	176640	-1	-1	-1	-1	177152	-1	-1	-1	-1	177664	-1	-1	-1	-1	178176	-1	-1	-1	-1	178688	-1	-1	-1	-1	179200	-1	-1	-1	-1	179712	-1	-1	-1	-1	180224	-1	-1	-1	-1	180736	-1	-1	-1	-1	181248	-1	-1	-1	-1	181760	-1	-1	-1	-1	182272	-1	-1	-1	-1	182784	-1	-1	-1	-1	183296	-1	-1	-1	-1	183808	-1	-1	-1	-1	184320	-1	-1	-1	-1	184832	-1	-1	-1	-1	185344	-1	-1	-1	-1	185856	-1	-1	-1	-1	186368	-1	-1	-1	-1	186880	-1	-1	-1	-1	187392	-1	-1	-1	-1	187904	-1	-1	-1	-1	188416	-1	-1	-1	-1	188928	-1	-1	-1	-1	189440	-1	-1	-1	-1	189952	-1	-1	-1	-1	190464	-1	-1	-1	-1	190976	-1	-1	-1	-1	191488	-1	-1	-1	-1	192000	-1	-1	-1	-1	192512	-1	-1	-1	-1	193024	-1	-1	-1	-1	193536	-1	-1	-1	-1	194048	-1	-1	-1	-1	194560	-1	-1	-1	-1	195072	-1	-1	-1	-1	195584	-1	-1	-1	-1	196096	-1	-1	-1	-1	196608	-1	-1	-1	-1	197120	-1	-1	-1	-1	197632	-1	-1	-1	-1	198144	-1	-1	-1	-1	198656	-1	-1	-1	-1	199168	-1	-1	-1	-1	199680	-1	-1	-1	-1	200192	-1	-1	-1	-1	200704	-1	-1	-1	-1	201216	-1	-1	-1	-1	201728	-1	-1	-1	-1	202240	-1	-1	-1	-1	202752	-1	-1	-1	-1	203264	-1	-1	-1	-1	203776	-1	-1	-1	-1	204288	-1	-1	-1	-1	204800	-1	-1	-1	-1	205312	-1	-1	-1	-1	205824	-1	-1	-1	-1	206336	-1	-1	-1	-1	206848	-1	-1	-1	-1	207360	-1	-1	-1	-1	207872	-1	-1	-1	-1	208384	-1	-1	-1	-1	208896	-1	-1	-1	-1	209408	
209920	-1	-1	-1	-1	210432	-1	-1	-1	-1	210944	-1	-1	-1	-1	211456	-1	-1	-1	-1	211968	-1	-1	-1	-1	212480	-1	-1	-1	-1	212992	-1	-1	-1	-1	213504	-1	-1	-1	-1	214016	-1	-1	-1	-1	214528	-1	-1	-1	-1	215040	-1	-1	-1	-1	215552	-1	-1	-1	-1	216064	-1	-1	-1	-1	216576	-1	-1	-1	-1	217088	-1	-1	-1	-1	217600	-1	-1	-1	-1	218112	-1	-1	-1	-1	218624	-1	-1	-1	-1	219136	-1	-1	-1	-1	219648	-1	-1	-1	-1	220160	-1	-1	-1	-1	220672	-1	-1	-1	-1	221184	-1	-1	-1	-1	221696	-1	-1	-1	-1	222208	-1	-1	-1	-1	222720	-1	-1	-1	-1	223232	-1	-1	-1	-1	223744	-1	-1	-1	-1	224256	-1	-1	-1	-1	224768	-1	-1	-1	-1	225280	-1	-1	-1	-1	225792	-1	-1	-1	-1	226304	-1	-1	-1	-1	226816	-1	-1	-1	-1	227328	-1	-1	-1	-1	227840	-1	-1	-1	-1	228352	-1	-1	-1	-1	228864	-1	-1	-1	-1	229376	-1	-1	-1	-1	229888	-1	-1	-1	-1	230400	-1	-1	-1	-1	230912	-1	-1	-1	-1	231424	-1	-1	-1	-1	231936	-1	-1	-1	-1	232448	-1	-1	-1	-1	232960	-1	-1	-1	-1	233472	-1	-1	-1	-1	233984	-1	-1	-1	-1	234496	-1	-1	-1	-1	235008	-1	-1	-1	-1	235520	-1	-1	-1	-1	236032	-1	-1	-1	-1	236544	-1	-1	-1	-1	237056	-1	-1	-1	-1	237568	-1	-1	-1	-1	238080	-1	-1	-1	-1	238592	-1	-1	-1	-1	239104	-1	-1	-1	-1	239616	-1	-1	-1	-1	240128	-1	-1	-1	-1	240640	-1	-1	-1	-1	241152	-1	-1	-1	-1	241664	-1	-1	-1	-1	242176	-1	-1	-1	-1	242688	-1	-1	-1	-1	243200	-1	-1	-1	-1	243712	-1	-1	-1	-1	244224	-1	-1	-1	-1	244736	-1	-1	-1	-1	245248	-1	-1	-1	-1	245760	-1	-1	-1	-1	246272	-1	-1	-1	-1	246784	
247296	-1	-1	-1	-1	-1	247808	-1	-1	-1	-1	-1	248320	-1	-1	-1	-1	-1	248832	-1	-1	-1	-1	-1	249344	-1	-1	-1	-1	-1	249856	-1	-1	-1	-1	-1	250368	-1	-1	-1	-1	-1	250880	-1	-1	-1	-1	-1	251392	-1	-1	-1	-1	-1	251904	-1	-1	-1	-1	-1	252416	-1	-1	-1	-1	-1	252928	-1	-1	-1	-1	-1	253440	-1	-1	-1	-1	-1	253952	-1	-1	-1	-1	-1	254464	-1	-1	-1	-1	-1	254976	-1	-1	-1	-1	-1	255488	-1	-1	-1	-1	-1	256000	-1	-1	-1	-1	-1	256512	-1	-1	-1	-1	-1	257024	-1	-1	-1	-1	-1	257536	-1	-1	-1	-1	-1	258048	-1	-1	-1	-1	-1	258560	-1	-1	-1	-1	-1	259072	-1	-1	-1	-1	-1	259584	-1	-1	-1	-1	-1	260096	-1	-1	-1	-1	-1	260608	-1	-1	-1	-1	-1	261120	-1	-1	-1	-1	-1	261632	-1	-1	-1	-1	-1	262144	-1	-1	-1	-1	-1	262656	-1	-1	-1	-1	-1	263168	-1	-1	-1	-1	-1	263680	-1	-1	-1	-1	-1	264192	-1	-1	-1	-1	-1	264704	-1	-1	-1	-1	-1	265216	-1	-1	-1	-1	-1	265728	-1	-1	-1	-1	-1	266240	-1	-1	-1	-1	-1	266752	-1	-1	-1	-1	-1	267264	-1	-1	-1	-1	-1	267776	-1	-1	-1	-1	-1	268288	-1	-1	-1	-1	-1	268800	-1	-1	-1	-1	-1	269312	-1	-1	-1	-1	-1	269824	-1	-1	-1	-1	-1	270336	-1	-1	-1	-1	-1	270848	-1	-1	-1	-1	-1	271360	-1	-1	-1	-1	-1	271872	-1	-1	-1	-1	-1	272384	-1	-1	-1	-1	-1	272896	-1	-1	-1	-1	-1	273408	-1	-1	-1	-1	-1	273920	-1	-1	-1	-1	-1	274432	-1	-1	-1	-1	-1	274944	-1	-1	-1	-1	-1	275456	-1	-1	-1	-1	-1	275968	-1	-1	-1	-1	-1	276480	-1	-1	-1	-1	-1	276992	-1	-1	-1	-1	-1	277504	-1	-1	-1	-1	-1	278016	
278528	-1	-1	-1	-1	-1	279040	-1	-1	-1	-1	-1	-1	279552	-1	-1	-1	-1	-1	280064	-1	-1	-1	-1	-1	-1	280576	-1	-1	-1	-1	-1	281088	-1	-1	-1	-1	-1	-1	281600	-1	-1	-1	-1	-1	282112	-1	-1	-1	-1	-1	282624	-1	-1	-1	-1	-1	-1	283136	-1	-1	-1	-1	-1	283648	-1	-1	-1	-1	-1	-1	284160	-1	-1	-1	-1	-1	284672	-1	-1	-1	-1	-1	-1	285184	-1	-1	-1	-1	-1	285696	-1	-1	-1	-1	-1	286208	-1	-1	-1	-1	-1	-1	286720	-1	-1	-1	-1	-1	287232	-1	-1	-1	-1	-1	-1	287744	-1	-1	-1	-1	-1	288256	-1	-1	-1	-1	-1	-1	288768	-1	-1	-1	-1	-1	289280	-1	-1	-1	-1	-1	289792	-1	-1	-1	-1	-1	-1	290304	-1	-1	-1	-1	-1	290816	-1	-1	-1	-1	-1	-1	291328	-1	-1	-1	-1	-1	291840	-1	-1	-1	-1	-1	-1	292352	-1	-1	-1	-1	-1	292864	-1	-1	-1	-1	-1	293376	-1	-1	-1	-1	-1	-1	293888	-1	-1	-1	-1	-1	294400	-1	-1	-1	-1	-1	-1	294912	-1	-1	-1	-1	-1	295424	-1	-1	-1	-1	-1	-1	295936	-1	-1	-1	-1	-1	296448	-1	-1	-1	-1	-1	296960	-1	-1	-1	-1	-1	-1	297472	-1	-1	-1	-1	-1	297984	-1	-1	-1	-1	-1	-1	298496	-1	-1	-1	-1	-1	299008	-1	-1	-1	-1	-1	-1	299520	-1	-1	-1	-1	-1	300032	-1	-1	-1	-1	-1	300544	-1	-1	-1	-1	-1	-1	301056	-1	-1	-1	-1	-1	301568	-1	-1	-1	-1	-1	-1	302080	-1	-1	-1	-1	-1	302592	-1	-1	-1	-1	-1	-1	303104	-1	-1	-1	-1	-1	303616	-1	-1	-1	-1	-1	304128	-1	-1	-1	-1	-1	-1	304640	-1	-1	-1	-1	-1	305152	-1	-1	-1	-1	-1	-1	305664	-1	-1	-1	-1	-1	306176	-1	-1	-1	-1	-1	-1	306688	-1	-1	-1	-1	-1	307200	
307712	-1	-1	-1	-1	-1	-1	-1	308224	-1	-1	-1	-1	-1	-1	-1	308736	-1	-1	-1	-1	-1	-1	-1	309248	-1	-1	-1	-1	-1	-1	-1	309760	-1	-1	-1	-1	-1	-1	-1	310272	-1	-1	-1	-1	-1	-1	-1	310784	-1	-1	-1	-1	-1	-1	-1	311296	-1	-1	-1	-1	-1	-1	-1	311808	-1	-1	-1	-1	-1	-1	-1	312320	-1	-1	-1	-1	-1	-1	-1	312832	-1	-1	-1	-1	-1	-1	-1	313344	-1	-1	-1	-1	-1	-1	-1	313856	-1	-1	-1	-1	-1	-1	-1	314368	-1	-1	-1	-1	-1	-1	-1	314880	-1	-1	-1	-1	-1	-1	-1	315392	-1	-1	-1	-1	-1	-1	-1	315904	-1	-1	-1	-1	-1	-1	-1	316416	-1	-1	-1	-1	-1	-1	-1	316928	-1	-1	-1	-1	-1	-1	-1	317440	-1	-1	-1	-1	-1	-1	-1	317952	-1	-1	-1	-1	-1	-1	-1	318464	-1	-1	-1	-1	-1	-1	-1	318976	-1	-1	-1	-1	-1	-1	-1	319488	-1	-1	-1	-1	-1	-1	-1	320000	-1	-1	-1	-1	-1	-1	-1	320512	-1	-1	-1	-1	-1	-1	-1	321024	-1	-1	-1	-1	-1	-1	-1	321536	-1	-1	-1	-1	-1	-1	-1	322048	-1	-1	-1	-1	-1	-1	-1	322560	-1	-1	-1	-1	-1	-1	-1	323072	-1	-1	-1	-1	-1	-1	-1	323584	-1	-1	-1	-1	-1	-1	-1	324096	-1	-1	-1	-1	-1	-1	-1	324608	-1	-1	-1	-1	-1	-1	-1	325120	-1	-1	-1	-1	-1	-1	-1	325632	-1	-1	-1	-1	-1	-1	-1	326144	-1	-1	-1	-1	-1	-1	-1	326656	-1	-1	-1	-1	-1	-1	-1	327168	-1	-1	-1	-1	-1	-1	-1	327680	-1	-1	-1	-1	-1	-1	-1	328192	-1	-1	-1	-1	-1	-1	-1	328704	-1	-1	-1	-1	-1	-1	-1	329216	-1	-1	-1	-1	-1	-1	-1	329728	-1	-1	-1	-1	-1	-1	-1	330240	-1	-1	-1	-1	-1	-1	-1	330752	
